交易时间,商家名称,金额,备注
2026-01-05,Netflix会员,45.00,自动续费
2026-01-08,星巴克,32.00,消费
2026-01-12,腾讯视频VIP,25.00,连续包月
2026-01-15,沃尔玛超市,128.50,消费
2026-01-18,某云存储服务,12.00,自动扣费
2026-02-05,Netflix会员,45.00,自动续费
2026-02-08,海底捞,156.00,消费
2026-02-12,腾讯视频VIP,25.00,连续包月
2026-02-16,某云存储服务,12.00,自动扣费
2026-02-22,亚马逊Prime会员,98.00,年度自动续费
2026-03-05,Netflix会员,45.00,自动续费
2026-03-12,腾讯视频VIP,25.00,连续包月
2026-03-17,某云存储服务,12.00,自动扣费
2026-04-05,Netflix会员,45.00,自动续费
2026-04-10,腾讯视频VIP,25.00,连续包月
2026-04-16,某云存储服务,12.00,自动扣费
2026-05-05,Netflix会员,45.00,自动续费
2026-05-12,腾讯视频VIP,25.00,连续包月
2026-05-17,某云存储服务,12.00,自动扣费
